,id,popularity,release_date,title,vote_average,vote_count,day,month,release_year,weekday
168,17447,3.196456,1995-08-18,Jeffrey,6.5,19.0,18.0,8.0,1995.0,viernes
169,9886,11.715868,1995-05-26,Johnny Mnemonic,5.5,380.0,26.0,5.0,1995.0,viernes
170,9482,8.184815,1995-06-30,Judge Dredd,5.4,643.0,30.0,6.0,1995.0,viernes
171,19326,3.676921,1995-04-12,Jury Duty,4.0,34.0,12.0,4.0,1995.0,miércoles
172,9344,4.877872,1995-07-28,Kids,6.8,280.0,28.0,7.0,1995.0,viernes
173,9071,10.058329,1995-01-20,Living in Oblivion,7.2,64.0,20.0,1.0,1995.0,viernes
174,8973,4.102409,1995-08-25,Lord of Illusions,5.9,87.0,25.0,8.0,1995.0,viernes
175,15730,0.354014,1993-05-20,Love & Human Remains,7.0,7.0,20.0,5.0,1993.0,jueves
176,47608,2.624771,1995-05-26,Mad Love,5.5,27.0,26.0,5.0,1995.0,viernes
177,2293,8.25547,1995-10-20,Mallrats,6.8,400.0,20.0,10.0,1995.0,viernes
178,9070,7.024227,1995-06-30,Mighty Morphin Power Rangers: The Movie,5.2,153.0,30.0,6.0,1995.0,viernes
179,68274,1.01115,1995-09-29,Moonlight and Valentino,5.6,10.0,29.0,9.0,1995.0,viernes
180,48787,2.466066,1995-09-28,Mute Witness,6.4,36.0,28.0,9.0,1995.0,jueves
181,34574,7.720056,1994-09-13,Nadja,5.9,12.0,13.0,9.0,1994.0,martes
182,1642,13.304342,1995-07-28,The Net,5.6,359.0,28.0,7.0,1995.0,viernes
183,11472,8.482834,1995-07-12,Nine Months,5.5,171.0,12.0,7.0,1995.0,miércoles
184,36196,1.165039,1995-06-09,Party Girl,5.8,14.0,9.0,6.0,1995.0,viernes
185,11980,10.187623,1995-09-01,The Prophecy,6.4,139.0,1.0,9.0,1995.0,viernes
186,58372,0.119713,1995-11-17,Reckless,10.0,1.0,17.0,11.0,1995.0,viernes
187,32646,8.180047,1995-06-23,Safe,7.2,62.0,23.0,6.0,1995.0,viernes
188,10533,6.752119,1995-10-13,The Scarlet Letter,5.5,111.0,13.0,10.0,1995.0,viernes
189,56088,0.159596,1995-08-25,The Show,5.3,2.0,25.0,8.0,1995.0,viernes
190,10802,17.502375,1995-09-22,Showgirls,4.9,261.0,22.0,9.0,1995.0,viernes
191,10149,5.552946,1995-06-09,Smoke,7.2,115.0,9.0,6.0,1995.0,viernes
192,18402,3.743212,1995-08-04,Something to Talk About,5.7,60.0,4.0,8.0,1995.0,viernes
193,9348,13.492845,1995-07-07,Species,5.5,457.0,7.0,7.0,1995.0,viernes
194,139408,0.913522,1995-09-15,The Stars Fell on Henrietta,6.6,6.0,15.0,9.0,1995.0,viernes
195,281,11.223055,1995-10-13,Strange Days,6.8,334.0,13.0,10.0,1995.0,viernes
197,79593,1.820419,1995-09-08,The Tie That Binds,4.6,9.0,8.0,9.0,1995.0,viernes
198,47939,11.002046,1995-10-27,Three Wishes,6.1,18.0,27.0,10.0,1995.0,viernes
199,36834,4.546552,1995-11-02,Total Eclipse,6.5,112.0,2.0,11.0,1995.0,jueves
200,9090,7.653446,1995-09-07,"To Wong Foo, Thanks for Everything! Julie Newmar",6.3,117.0,7.0,9.0,1995.0,jueves
201,3512,7.490247,1995-07-13,Under Siege 2: Dark Territory,5.6,217.0,13.0,7.0,1995.0,jueves
202,52856,2.881689,1995-09-15,Unstrung Heroes,6.4,9.0,15.0,9.0,1995.0,viernes
203,77350,0.786023,1995-08-11,Unzipped,6.0,6.0,11.0,8.0,1995.0,viernes
204,9560,9.715639,1995-08-11,A Walk in the Clouds,6.5,168.0,11.0,8.0,1995.0,viernes
205,9804,16.885184,1995-07-28,Waterworld,5.9,1017.0,28.0,7.0,1995.0,viernes
206,31611,1.834099,1995-12-01,White Man's Burden,5.1,25.0,1.0,12.0,1995.0,viernes
207,65796,8.922139,1995-12-01,Wild Bill,5.9,27.0,1.0,12.0,1995.0,viernes
208,49805,3.727644,1994-10-12,The Browning Version,6.0,11.0,12.0,10.0,1994.0,miércoles
209,26258,3.287036,1995-08-04,Bushwhacked,4.9,29.0,4.0,8.0,1995.0,viernes
211,19155,3.525649,1994-06-09,Before the Rain,7.7,45.0,9.0,6.0,1994.0,jueves
212,76,11.304979,1995-01-27,Before Sunrise,7.7,984.0,27.0,1.0,1995.0,viernes
213,11017,6.638116,1995-02-10,Billy Madison,6.2,464.0,10.0,2.0,1995.0,viernes
214,37141,2.761837,1995-10-17,The Babysitter,4.7,27.0,17.0,10.0,1995.0,martes
215,9382,3.030309,1995-02-03,Boys on the Side,6.3,48.0,3.0,2.0,1995.0,viernes
216,6715,2.686342,1995-04-21,The Cure,7.2,58.0,21.0,4.0,1995.0,viernes
217,18256,2.26977,1995-08-04,Castle Freak,5.8,40.0,4.0,8.0,1995.0,viernes
218,22625,2.605521,1995-03-16,Circle of Friends,6.5,30.0,16.0,3.0,1995.0,jueves
219,2292,10.513367,1994-09-13,Clerks,7.4,769.0,13.0,9.0,1994.0,martes
220,1909,7.438934,1994-10-01,Don Juan DeMarco,6.3,184.0,1.0,10.0,1994.0,sábado
221,8984,11.812244,1994-12-09,Disclosure,5.9,217.0,9.0,12.0,1994.0,viernes
222,61813,0.155859,1995-01-01,Dream Man,2.5,1.0,1.0,1.0,1995.0,domingo
223,4954,9.579155,1994-12-08,Drop Zone,5.1,91.0,8.0,12.0,1994.0,jueves
225,10531,5.484156,1994-05-04,Death and the Maiden,7.1,92.0,4.0,5.0,1994.0,miércoles
226,11929,5.8025,1995-03-24,Dolores Claiborne,7.1,183.0,24.0,3.0,1995.0,viernes
227,8467,9.844558,1994-12-16,Dumb and Dumber,6.5,1894.0,16.0,12.0,1994.0,viernes
229,20156,5.378467,1994-09-24,Exotica,6.5,64.0,24.0,9.0,1994.0,sábado
230,18395,4.322726,1994-10-14,Exit to Eden,4.3,28.0,14.0,10.0,1994.0,viernes
231,522,11.720358,1994-09-27,Ed Wood,7.3,639.0,27.0,9.0,1994.0,martes
232,397,9.146544,1995-05-05,French Kiss,6.2,179.0,5.0,5.0,1995.0,viernes
233,10525,16.236745,1995-05-19,Forget Paris,6.1,38.0,19.0,5.0,1995.0,viernes
234,27985,2.657337,1995-01-13,Far from Home: The Adventures of Yellow Dog,5.6,27.0,13.0,1.0,1995.0,viernes
235,15789,10.177977,1995-04-07,A Goofy Movie,6.7,404.0,7.0,4.0,1995.0,viernes
236,27303,8.182165,1995-03-03,Hideaway,5.0,24.0,3.0,3.0,1995.0,viernes
237,21183,4.953936,1995-06-02,Fluke,6.6,48.0,2.0,6.0,1995.0,viernes
239,47867,0.398924,1995-05-12,Gordy,3.0,4.0,12.0,5.0,1995.0,viernes
240,43475,0.090452,1995-12-01,Gumby: The Movie,5.0,2.0,1.0,12.0,1995.0,viernes
241,72031,1.012197,1994-09-16,The Glass Shield,5.4,9.0,16.0,9.0,1994.0,viernes
242,14275,9.47666,1994-09-12,Hoop Dreams,7.7,91.0,12.0,9.0,1994.0,lunes
243,1024,9.438042,1994-09-02,Heavenly Creatures,6.9,299.0,2.0,9.0,1994.0,viernes
244,17207,2.688562,1995-01-06,Houseguest,6.0,17.0,6.0,1.0,1995.0,viernes
245,13701,7.983666,1994-12-16,Immortal Beloved,6.9,90.0,16.0,12.0,1994.0,viernes
246,14819,9.546707,1995-02-17,Heavyweights,6.0,97.0,17.0,2.0,1995.0,viernes
247,32631,2.756986,1995-02-24,The Hunted,6.0,25.0,24.0,2.0,1995.0,viernes
248,11777,5.146352,1994-12-24,I.Q.,5.9,112.0,24.0,12.0,1994.0,sábado
249,628,11.970205,1994-11-11,Interview with the Vampire,7.2,1558.0,11.0,11.0,1994.0,viernes
250,87729,1.596058,1995-03-31,Jefferson in Paris,5.2,10.0,31.0,3.0,1995.0,viernes
251,18713,0.748846,1995-02-03,The Jerky Boys,4.8,10.0,3.0,2.0,1995.0,viernes
252,6280,6.710215,1994-11-22,Junior,4.7,381.0,22.0,11.0,1994.0,martes
253,9061,9.195256,1995-02-17,Just Cause,6.0,124.0,17.0,2.0,1995.0,viernes
254,37108,5.874511,1995-08-11,A Kid in King Arthur's Court,4.3,40.0,11.0,8.0,1995.0,viernes
255,6071,7.797512,1995-04-21,Kiss of Death,5.7,83.0,21.0,4.0,1995.0,viernes
257,9587,9.774994,1994-12-21,Little Women,7.0,222.0,21.0,12.0,1994.0,miércoles
258,19101,7.731725,1995-05-10,A Little Princess,7.4,207.0,10.0,5.0,1995.0,miércoles
259,49980,0.84508,1994-02-18,Ladybird Ladybird,7.4,14.0,18.0,2.0,1994.0,viernes
262,4476,12.199047,1994-12-16,Legends of the Fall,7.2,636.0,16.0,12.0,1994.0,viernes
263,11008,9.253362,1995-03-24,Major Payne,6.1,164.0,24.0,3.0,1995.0,viernes
264,47504,1.861292,1994-10-27,Little Odessa,6.4,31.0,27.0,10.0,1994.0,jueves
265,32325,1.788829,1994-06-08,Mi Vida Loca,5.7,9.0,8.0,6.0,1994.0,miércoles
266,43742,3.290192,1994-10-21,Love Affair,4.3,11.0,21.0,10.0,1994.0,viernes
267,28313,7.698526,1995-03-17,Losing Isaiah,6.4,28.0,17.0,3.0,1995.0,viernes
268,11318,4.81307,1994-12-28,The Madness of King George,6.7,67.0,28.0,12.0,1994.0,miércoles
269,3036,14.287753,1994-11-04,Mary Shelley's Frankenstein,6.1,272.0,4.0,11.0,1994.0,viernes
270,40490,2.558118,1995-03-03,Man of the House,5.1,40.0,3.0,3.0,1995.0,viernes
271,24070,2.899608,1994-12-21,Mixed Nuts,5.2,37.0,21.0,12.0,1994.0,miércoles
272,8986,3.770115,1994-08-31,Milk Money,5.6,49.0,31.0,8.0,1994.0,miércoles
273,10510,5.831622,1994-11-18,Miracle on 34th Street,6.4,199.0,18.0,11.0,1994.0,viernes
274,17402,1.137266,1995-01-27,Miami Rhapsody,5.6,7.0,27.0,1.0,1995.0,viernes
275,38722,3.121288,1995-05-03,My Family,7.0,11.0,3.0,5.0,1995.0,miércoles
276,8438,9.518564,1995-01-20,Murder in the First,6.9,140.0,20.0,1.0,1995.0,viernes
277,11593,2.891269,1994-12-23,Nobody's Fool,7.0,56.0,23.0,12.0,1994.0,viernes
278,1945,5.930957,1994-12-23,Nell,6.1,128.0,23.0,12.0,1994.0,viernes
279,39310,0.629955,1995-04-19,New Jersey Drive,6.9,7.0,19.0,4.0,1995.0,miércoles
280,109560,0.004537,1993-08-14,New York Cop,0.0,0.0,14.0,8.0,1993.0,sábado
281,56428,0.426952,1994-04-22,Beyond Bedlam,4.0,4.0,22.0,4.0,1994.0,viernes
282,63105,1.466491,1995-09-26,Nemesis 2 - Nebula,4.6,10.0,26.0,9.0,1995.0,martes
283,131957,0.769522,1995-03-03,Nina Takes a Lover,7.4,4.0,3.0,3.0,1995.0,viernes
284,241,11.226856,1994-08-25,Natural Born Killers,6.9,927.0,25.0,8.0,1994.0,jueves
285,9058,4.936761,1994-09-17,Only You,6.4,92.0,17.0,9.0,1994.0,sábado
286,527,4.025276,1994-09-02,Once Were Warriors,7.6,106.0,2.0,9.0,1994.0,viernes
287,18220,6.448039,1996-01-16,Poison Ivy II: Lily,4.6,32.0,16.0,1.0,1996.0,martes
288,6950,13.676444,1995-03-10,Outbreak,6.4,522.0,10.0,3.0,1995.0,viernes
290,63020,1.433544,1995-05-12,The Perez Family,6.6,9.0,12.0,5.0,1995.0,viernes
291,2307,0.463307,1995-04-28,A Pyromaniac's Love Story,7.0,2.0,28.0,4.0,1995.0,viernes
292,680,140.950236,1994-09-10,Pulp Fiction,8.3,8670.0,10.0,9.0,1994.0,sábado
293,41478,7.160149,1995-11-10,Panther,6.4,6.0,10.0,11.0,1995.0,viernes
295,40156,1.881932,1994-01-01,Priest,6.4,32.0,1.0,1.0,1994.0,sábado
296,11450,7.772505,1994-09-16,Quiz Show,7.1,262.0,16.0,9.0,1994.0,viernes
297,30304,1.296912,1995-05-05,Picture Bride,7.4,5.0,5.0,5.0,1995.0,viernes
299,12106,7.54701,1995-02-09,The Quick and the Dead,6.2,431.0,9.0,2.0,1995.0,jueves
301,3586,6.259433,1994-12-23,Prêt-à-Porter,5.3,33.0,23.0,12.0,1994.0,viernes
306,36357,1.155255,1995-01-01,Rent-a-Kid,5.1,15.0,1.0,1.0,1995.0,domingo
307,92769,0.499601,1995-10-03,Relative Fear,4.7,3.0,3.0,10.0,1995.0,martes
308,28033,1.390885,1995-04-12,Stuart Saves His Family,5.0,6.0,12.0,4.0,1995.0,miércoles
309,22586,8.910462,1994-11-18,The Swan Princess,6.5,251.0,18.0,11.0,1994.0,viernes
310,14334,1.750481,1994-01-01,The Secret of Roan Inish,6.1,15.0,1.0,1.0,1994.0,sábado
311,2636,10.388183,1994-10-07,The Specialist,5.5,317.0,7.0,10.0,1994.0,viernes
