,adult,budget,id,popularity,revenue,title,vote_average,vote_count,day,month,year
317,False,0,12527,1.777197,0.0,Strawberry and Chocolate,7.1,16.0,1.0,1.0,1993.0
321,False,0,31439,5.260627,0.0,To Live,7.7,62.0,30.0,6.0,1994.0
384,False,0,41580,0.934312,0.0,Colonel Chabert,5.9,9.0,1.0,1.0,1994.0
441,False,0,10997,4.875827,0.0,Farewell My Concubine,7.8,98.0,16.0,9.0,1993.0
490,False,0,5879,8.932494,0.0,In the Realm of the Senses,6.5,112.0,15.0,5.0,1976.0
521,False,0,41878,1.031556,0.0,Savage Nights,6.2,11.0,19.0,8.0,1992.0
561,False,0,8223,3.647321,0.0,Kika,6.8,58.0,28.0,10.0,1993.0
564,False,0,41653,1.764582,0.0,The Slingshot,6.2,10.0,24.0,9.0,1993.0
572,False,0,68806,0.046196,0.0,The Escort,5.0,5.0,1.0,1.0,1993.0
576,False,0,25403,2.904734,0.0,Dear Diary,6.9,46.0,12.0,10.0,1993.0
591,False,0,41043,0.345748,0.0,Window to Paris,6.0,6.0,1.0,12.0,1993.0
607,False,0,51242,1.306628,0.0,Bread and Chocolate,7.1,10.0,5.0,5.0,1974.0
609,False,0,4307,2.286788,0.0,The Flower of My Secret,6.9,43.0,22.0,9.0,1995.0
612,False,0,88893,0.736081,0.0,Scream of Stone,7.5,4.0,1.0,1.0,1991.0
613,False,0,52873,0.516924,0.0,My Favorite Season,6.4,4.0,14.0,5.0,1993.0
632,False,0,11479,4.728163,0.0,"Little Indian, Big City",6.0,145.0,14.0,12.0,1994.0
633,False,0,398959,0.149157,0.0,Roula,5.0,1.0,11.0,9.0,1995.0
634,False,0,287305,0.066123,0.0,Peanuts – Die Bank zahlt alles,4.0,1.0,21.0,3.0,1996.0
635,False,0,339428,0.002229,65335.0,Happy Weekend,0.0,0.0,14.0,3.0,1996.0
636,False,0,12652,1.784647,0.0,Nelly and Monsieur Arnaud,7.1,16.0,12.0,4.0,1996.0
639,False,0,68445,0.494977,0.0,Cold Fever,7.7,6.0,10.0,2.0,1995.0
641,False,0,10801,0.821299,0.0,The Superwife,5.3,7.0,6.0,3.0,1996.0
642,False,0,54285,0.396626,0.0,"301, 302",6.2,10.0,22.0,4.0,1995.0
644,False,0,278978,0.439989,0.0,Und keiner weint mir nach,0.0,0.0,29.0,2.0,1996.0
645,False,0,124625,0.622885,0.0,My Mother's Courage,0.0,0.0,12.0,9.0,1995.0
649,False,0,10363,3.804493,0.0,Purple Noon,7.3,73.0,10.0,3.0,1960.0
655,False,14000000,11902,14.587894,0.0,Underground,7.5,143.0,11.0,4.0,1995.0
656,False,0,27098,3.582047,0.0,All Things Fair,6.1,23.0,8.0,3.0,1995.0
658,False,0,5801,3.900709,536364.0,Pather Panchali,7.9,63.0,26.0,8.0,1955.0
659,False,0,896,2.381806,16000.0,The World of Apu,8.2,40.0,1.0,5.0,1959.0
668,False,220000,8072,4.658149,0.0,Alphaville,6.8,100.0,5.0,5.0,1965.0
669,False,0,35797,2.272213,0.0,Coup de Torchon,6.8,21.0,4.0,11.0,1981.0
676,False,0,105045,0.122178,0.0,The Promise,5.0,1.0,16.0,2.0,1995.0
679,False,0,117730,0.71066,0.0,Under The Domim Tree,6.5,2.0,1.0,1.0,1994.0
687,False,0,44103,0.755047,0.0,Priest Daens,6.7,15.0,1.0,9.0,1992.0
703,False,0,62364,1.133409,0.0,Mouth to Mouth,5.5,5.0,10.0,11.0,1995.0
704,False,0,11687,7.326169,0.0,The Visitors,7.1,433.0,27.0,1.0,1993.0
718,False,4000000,21588,6.247819,0.0,Cemetery Man,7.0,105.0,25.0,3.0,1994.0
721,False,0,47119,0.125882,0.0,Le Garçu,5.0,1.0,31.0,10.0,1995.0
722,False,0,314352,0.652621,0.0,Honeymoon,0.0,0.0,11.0,4.0,1996.0
723,False,0,9323,10.686166,2287714.0,Ghost in the Shell,7.8,854.0,18.0,11.0,1995.0
738,False,0,255546,0.146287,0.0,Carmen Miranda: Bananas Is My Business,10.0,1.0,13.0,4.0,1995.0
739,False,0,40751,5.215992,0.0,Ashes of Time,7.1,73.0,16.0,9.0,1994.0
742,False,0,11101,7.667284,0.0,Stalingrad,7.4,116.0,21.0,1.0,1993.0
750,False,0,124633,0.099602,0.0,Someone Else's America,0.0,0.0,9.0,9.0,1995.0
751,False,0,202425,0.514363,0.0,Life is Rosy,6.5,2.0,17.0,11.0,1987.0
753,False,0,77771,0.043903,0.0,Touki Bouki,7.3,10.0,1.0,7.0,1973.0
754,False,0,181083,0.049573,0.0,God's Gift,5.0,1.0,1.0,1.0,1982.0
755,False,0,41225,1.794298,0.0,Spirits of the Dead,5.5,24.0,16.0,5.0,1968.0
769,False,0,123763,0.202495,0.0,"I, the Worst of All",6.8,3.0,9.0,8.0,1990.0
770,False,0,81949,0.826372,65352.0,An Unforgettable Summer,7.2,6.0,15.0,5.0,1994.0
776,False,0,78285,0.573423,0.0,The Old Lady Who Walked in the Sea,0.0,0.0,18.0,9.0,1991.0
786,False,0,77056,0.227128,0.0,Rendezvous in Paris,6.5,4.0,22.0,3.0,1995.0
790,False,0,172198,0.091984,0.0,Magic Hunter,6.0,1.0,23.0,10.0,1994.0
797,False,0,35206,1.116063,0.0,Death in the Garden,7.4,8.0,21.0,9.0,1956.0
798,False,0,151489,0.270432,0.0,Hedd Wyn,6.5,2.0,1.0,1.0,1992.0
799,False,0,4837,1.683348,0.0,La Collectionneuse,6.5,25.0,2.0,3.0,1967.0
800,False,0,12632,0.000578,0.0,Kaspar Hauser,6.3,4.0,11.0,9.0,1993.0
801,False,0,9098,1.165202,0.0,Regular Guys,5.2,9.0,30.0,5.0,1996.0
802,False,0,282919,0.106345,0.0,Diebinnen,4.0,1.0,20.0,6.0,1996.0
817,False,0,31417,9.935891,0.0,Eyes Without a Face,7.5,130.0,11.0,1.0,1960.0
821,False,0,48144,0.076062,0.0,The Day the Sun Turned Cold,7.0,2.0,1.0,1.0,1994.0
826,False,0,36266,1.781952,0.0,Cyclo,6.8,23.0,1.0,1.0,1995.0
830,False,0,116690,0.969254,0.0,The Ballad of Narayama,6.4,12.0,1.0,6.0,1958.0
831,False,0,213917,0.629807,0.0,Every Other Weekend,6.0,2.0,28.0,8.0,1990.0
832,False,0,145925,0.03537,0.0,Mille bolle blu,6.0,1.0,1.0,1.0,1993.0
835,False,0,159,8.593319,0.0,Maybe... Maybe Not,6.1,34.0,5.0,10.0,1994.0
836,False,900000,11134,6.751864,20483423.0,Police Story 3: Supercop,6.7,109.0,4.0,7.0,1992.0
838,False,0,132641,0.096079,0.0,Wife,0.0,0.0,29.0,4.0,1953.0
845,False,0,241058,0.14315,0.0,Lover's Knot,4.0,2.0,12.0,7.0,1996.0
846,False,0,11985,1.404588,0.0,Vive L'Amour,7.3,16.0,2.0,9.0,1994.0
847,False,0,10232,0.364246,0.0,Shadow of Angels,4.0,2.0,31.0,1.0,1976.0
850,False,0,38955,1.262539,0.0,Project S,5.8,12.0,21.0,10.0,1993.0
862,False,0,101230,0.062128,0.0,1-900,5.0,1.0,1.0,9.0,1994.0
863,False,0,253632,0.437895,0.0,Baton Rouge,0.0,0.0,8.0,10.0,1988.0
867,False,0,43596,0.472479,0.0,Liebelei,6.3,8.0,10.0,3.0,1933.0
869,False,0,26933,2.115268,0.0,Wild Reeds,7.4,18.0,5.0,5.0,1994.0
912,False,0,64382,1.954175,0.0,The Reluctant Debutante,6.6,11.0,1.0,1.0,1958.0
952,False,0,39448,1.060097,0.0,"Yes, Madam",7.4,11.0,1.0,1.0,1985.0
961,False,0,890,0.751733,0.0,Brother of Sleep,6.8,6.0,8.0,9.0,1995.0
1028,False,0,43777,0.401227,0.0,Bitter Sugar,6.3,3.0,10.0,2.0,1996.0
1043,False,0,116356,0.297781,0.0,The Sexual Life of the Belgians,5.0,2.0,28.0,1.0,1994.0
1075,False,0,427043,0.001193,0.0,Charm's  Incidents,0.0,0.0,3.0,10.0,1996.0
1076,False,0,146341,0.564117,0.0,Bird of Prey,0.0,0.0,12.0,9.0,1995.0
1077,False,0,9305,10.793031,0.0,Microcosmos,7.7,61.0,20.0,5.0,1996.0
1082,False,0,102461,1.813577,0.0,A Single Girl,6.8,8.0,29.0,5.0,1995.0
1083,False,0,36998,2.887239,0.0,The Eighth Day,7.0,56.0,1.0,1.0,1996.0
1096,False,4940939,4480,4.883274,0.0,Jean de Florette,7.6,113.0,27.0,8.0,1986.0
1097,False,0,4481,5.939394,0.0,Manon of the Spring,7.8,103.0,19.0,11.0,1986.0
1098,False,0,49688,0.149107,0.0,Johnny 100 Pesos,6.3,3.0,1.0,1.0,1993.0
1107,False,0,79306,0.001223,2035470.0,Snowriders,0.0,0.0,17.0,10.0,1996.0
1111,False,0,104931,0.441965,0.0,JLG/JLG: Self-Portrait in December,7.7,3.0,8.0,3.0,1995.0
1112,False,0,4483,1.233692,0.0,The Return of Martin Guerre,6.7,22.0,12.0,5.0,1982.0
1113,False,0,18919,1.892008,0.0,Faust,7.4,22.0,10.0,9.0,1994.0
1117,False,0,61461,0.412633,0.0,The Children Are Watching Us,7.2,11.0,27.0,10.0,1944.0
1122,False,0,659,5.614456,0.0,The Tin Drum,7.0,93.0,2.0,5.0,1979.0
1124,False,0,86369,0.400813,0.0,Mina Tannenbaum,4.8,3.0,2.0,3.0,1994.0
1125,False,0,8074,7.273791,0.0,2 or 3 Things I Know About Her,7.0,33.0,17.0,3.0,1967.0
1132,False,0,11216,14.177005,11990401.0,Cinema Paradiso,8.2,834.0,17.0,11.0,1988.0
1134,False,0,64567,0.665616,0.0,Dead Tired,5.6,9.0,18.0,5.0,1994.0
1135,False,4000000,892,12.565447,1794187.0,Delicatessen,7.4,320.0,17.0,4.0,1991.0
1136,False,0,1600,9.661817,1999955.0,The Double Life of Veronique,7.3,154.0,15.0,5.0,1991.0
1143,False,0,38251,5.557759,4532791.0,Mediterraneo,7.4,157.0,31.0,1.0,1991.0
1149,False,0,2469,10.788319,0.0,Tie Me Up! Tie Me Down!,7.0,102.0,12.0,12.0,1989.0
1159,False,1200000,429,16.788787,6000000.0,"The Good, the Bad and the Ugly",8.1,2371.0,23.0,12.0,1966.0
1166,False,5000000,335,15.589351,5321508.0,Once Upon a Time in the West,8.1,1160.0,21.0,12.0,1968.0
1168,False,2500000,144,6.357321,3200000.0,Wings of Desire,7.5,256.0,1.0,1.0,1987.0
1173,False,0,175,13.503815,0.0,The Big Blue,7.6,364.0,11.0,5.0,1988.0
1174,False,11500000,11645,12.250232,4069653.0,Ran,7.9,349.0,1.0,6.0,1985.0
1175,False,0,10835,8.019837,0.0,The Killer,7.6,179.0,6.0,7.0,1989.0
1188,False,0,1398,7.787515,0.0,Stalker,7.8,356.0,16.0,4.0,1979.0
1189,False,14000000,387,8.80338,85000000.0,Das Boot,7.9,623.0,16.0,9.0,1981.0
1193,False,0,490,6.47828,0.0,The Seventh Seal,7.9,569.0,16.0,2.0,1957.0
1204,False,0,9322,6.586401,5000000.0,La Femme Nikita,7.0,511.0,21.0,2.0,1990.0
1206,False,0,422,6.747516,0.0,8½,7.9,427.0,14.0,2.0,1963.0
1215,False,0,832,12.752421,0.0,M,8.0,465.0,11.0,5.0,1931.0
1219,False,0,4485,2.211854,0.0,Diva,6.7,37.0,11.0,3.0,1981.0
1229,False,8000000,149,10.888917,553171.0,Akira,7.8,792.0,16.0,7.0,1988.0
1232,False,0,11673,5.0399,0.0,Cyrano de Bergerac,6.8,131.0,28.0,3.0,1990.0
1235,False,0,10404,7.948888,0.0,Raise the Red Lantern,7.8,139.0,20.0,12.0,1991.0
1254,False,0,8816,4.195896,0.0,My Life as a Dog,7.3,70.0,12.0,12.0,1985.0
1260,False,23000000,10341,2.14652,0.0,Until the End of the World,6.3,45.0,12.0,9.0,1991.0
1300,False,0,653,7.435873,0.0,Nosferatu,7.7,373.0,15.0,3.0,1922.0
1306,False,0,145,8.558688,3803298.0,Breaking the Waves,7.2,213.0,13.0,5.0,1996.0
1312,False,0,53234,1.350133,0.0,Identification of a Woman,5.8,15.0,21.0,10.0,1982.0
1315,False,2535000,85589,0.472335,0.0,Zero Kelvin,6.4,5.0,29.0,9.0,1995.0
1319,False,0,199512,0.521422,0.0,The Forbidden Christ,5.5,2.0,8.0,6.0,1951.0
1320,False,0,64900,0.318366,0.0,I Can't Sleep,5.0,1.0,18.0,5.0,1994.0
1355,False,0,1802,3.095894,0.0,La Cérémonie,7.0,40.0,30.0,8.0,1995.0
1364,False,0,49935,0.365078,0.0,Thieves,7.0,5.0,21.0,8.0,1996.0
1376,False,0,9404,9.206356,21890845.0,First Strike,6.5,101.0,10.0,2.0,1996.0
1389,False,0,43775,0.496315,0.0,Guantanamera,8.0,3.0,1.0,1.0,1995.0
1391,False,0,784,13.947867,5770254.0,Kolya,7.5,46.0,5.0,5.0,1996.0
1395,False,0,55936,1.015881,0.0,Prisoner of the Mountains,6.6,14.0,15.0,3.0,1996.0
1410,False,0,60083,0.15935,0.0,Salut cousin !,3.3,4.0,20.0,11.0,1996.0
1431,False,0,76996,0.915298,0.0,Love and Other Catastrophes,5.8,9.0,1.0,8.0,1996.0
1446,False,0,105763,0.631834,0.0,A Chef in Love,3.5,2.0,6.0,6.0,1996.0
1448,False,0,47694,1.136222,0.0,Temptress Moon,7.2,6.0,9.0,5.0,1996.0
1465,False,0,105045,0.122178,0.0,The Promise,5.0,1.0,16.0,2.0,1995.0
1466,False,0,53023,0.792486,0.0,Le Bonheur,7.0,21.0,10.0,2.0,1965.0
1467,False,2000000,64802,1.7442,2900000.0,Love! Valour! Compassion!,5.7,10.0,16.0,5.0,1997.0
1468,False,0,11239,1.963402,0.0,Shall We Dance?,7.2,35.0,27.0,1.0,1996.0
1475,False,0,38523,0.409967,0.0,Ponette,7.5,11.0,10.0,9.0,1996.0
1499,False,0,17991,2.018292,0.0,Tetsuo II: Body Hammer,5.6,24.0,1.0,1.0,1992.0
1500,False,0,11956,0.834917,0.0,When the Cat's Away,6.1,16.0,3.0,4.0,1996.0
1501,False,900000,266,7.543337,528428.0,Contempt,7.5,138.0,21.0,10.0,1963.0
1504,False,0,43771,1.052071,0.0,Gabbeh,7.5,6.0,26.0,6.0,1996.0
1505,False,0,124834,0.311968,0.0,Mondo,7.0,3.0,1.0,6.0,1995.0
1506,False,0,249358,1.221766,0.0,The Innocent Sleep,0.0,0.0,25.0,1.0,1996.0
1573,False,0,63437,1.886677,0.0,Telling Lies In America,6.3,6.0,2.0,8.0,1997.0
1586,False,0,99002,0.551124,0.0,Nenette and Boni,8.0,7.0,29.0,1.0,1997.0
1616,False,0,39177,0.989115,0.0,Artemisia,6.2,10.0,10.0,9.0,1997.0
1619,False,0,42832,0.530702,0.0,The Boys,5.4,7.0,12.0,12.0,1997.0
1642,False,0,12799,0.384033,0.0,Full Speed,6.6,4.0,25.0,9.0,1996.0
1643,False,0,62394,0.007123,0.0,The Education of Little Tree,0.0,0.0,25.0,12.0,1997.0
1652,False,0,27103,3.237812,0.0,My Life in Pink,7.2,28.0,28.0,5.0,1997.0
1659,False,0,12538,6.253164,13035599.0,Senseless,5.8,76.0,20.0,2.0,1998.0
1669,False,0,11220,5.470351,0.0,Fallen Angels,7.7,113.0,6.0,9.0,1995.0
1670,False,0,21253,1.791965,310724.0,Four Days in September,7.3,22.0,1.0,5.0,1997.0
1676,False,0,44361,1.046963,0.0,Mother and Son,7.6,14.0,20.0,2.0,1997.0
1681,False,0,41577,1.673946,0.0,Tokyo Fist,6.6,29.0,1.0,1.0,1995.0
1697,False,0,18205,3.304718,0.0,Midaq Alley,6.4,12.0,5.0,5.0,1995.0
1707,False,0,5910,5.044722,0.0,Fireworks,7.6,118.0,3.0,9.0,1997.0
1736,False,0,267,6.715019,1535558.0,Live Flesh,7.2,89.0,28.0,10.0,1997.0
1742,False,0,90414,0.090048,0.0,"I Love You, Don't Touch Me!",6.0,1.0,21.0,1.0,1997.0
1750,False,12716953,10622,6.183021,18814720.0,Mr. Nice Guy,6.2,129.0,31.0,1.0,1997.0
1751,False,0,30020,7.894941,0.0,Taste of Cherry,7.1,78.0,28.0,9.0,1997.0
1752,False,4500000,17139,1.221677,0.0,Character,7.7,25.0,17.0,4.0,1997.0
1753,False,0,34582,0.336763,0.0,Junk Mail,5.7,6.0,21.0,2.0,1997.0
1780,False,0,26610,3.722295,0.0,Insomnia,6.6,55.0,14.0,3.0,1997.0
1782,False,0,40961,0.774609,0.0,The Ugly,5.9,14.0,26.0,8.0,1997.0
1784,False,0,312,1.923957,0.0,Beyond Silence,6.5,12.0,18.0,12.0,1996.0
1791,False,180000,21334,7.523517,900000.0,Children of Heaven,7.8,113.0,1.0,8.0,1997.0
1806,False,0,108548,1.536254,0.0,Voyage to the Beginning of the World,6.0,5.0,5.0,5.0,1997.0
1901,False,92620000,19,14.487867,650422.0,Metropolis,8.0,666.0,10.0,1.0,1927.0
1910,False,2000000,346,15.01777,271841.0,Seven Samurai,8.2,892.0,26.0,4.0,1954.0
1921,False,0,44322,1.108362,0.0,East Palace West Palace,8.3,3.0,1.0,1.0,1996.0
1954,False,0,98505,0.431005,0.0,Seventh Heaven,4.7,3.0,17.0,12.0,1997.0
1959,False,0,5961,5.472431,4971340.0,Fanny & Alexander,7.3,138.0,17.0,12.0,1982.0
1966,False,144,11911,5.663598,0.0,Mephisto,7.1,33.0,29.0,4.0,1981.0
2022,False,0,12761,4.850503,0.0,Autumn Sonata,7.8,83.0,8.0,10.0,1978.0
2047,False,0,125124,0.114411,0.0,The Best Man,0.0,0.0,28.0,10.0,1997.0
2083,False,0,46748,0.892546,0.0,See the Sea,7.4,7.0,3.0,12.0,1997.0
2119,False,0,64398,0.753073,0.0,The Pleasure Garden,5.7,10.0,3.0,11.0,1925.0
2127,False,0,37550,1.356974,0.0,Seven Beauties,8.8,10.0,20.0,12.0,1975.0
2128,False,0,37916,1.614531,0.0,Swept Away,7.4,36.0,18.0,12.0,1974.0
2163,False,0,72987,0.85691,1782005.0,A Soldier's Daughter Never Cries,7.0,5.0,18.0,9.0,1998.0
2196,False,0,1039,0.639285,0.0,The Inheritors,6.6,7.0,19.0,6.0,1998.0
2211,False,20000000,637,39.39497,229400000.0,Life Is Beautiful,8.3,3643.0,20.0,12.0,1997.0
2238,False,0,19426,6.587353,752045.0,Nights of Cabiria,7.9,122.0,3.0,10.0,1957.0
2244,False,2900000,666,4.919716,5596708.0,Central Station,7.6,132.0,16.0,1.0,1998.0
2247,False,1300000,309,6.064954,0.0,The Celebration,7.7,213.0,20.0,5.0,1998.0
2250,False,1000000,1678,13.153272,0.0,Godzilla,6.9,194.0,3.0,11.0,1954.0
2251,False,2000000,39256,2.894009,4100000.0,Godzilla 1985,6.7,34.0,15.0,12.0,1984.0
2252,False,0,1680,2.894775,0.0,King Kong vs. Godzilla,6.0,48.0,11.0,8.0,1962.0
2275,False,0,27104,1.74817,0.0,Steam: The Turkish Bath,6.4,24.0,24.0,10.0,1997.0
2287,False,0,24951,1.912324,0.0,Prancer,5.7,17.0,17.0,11.0,1989.0
2320,False,70000000,9422,9.353499,56702901.0,A Civil Action,6.1,113.0,5.0,3.0,1998.0
2367,False,0,6187,1.018341,0.0,Dry Cleaning,4.7,5.0,24.0,9.0,1997.0
2370,False,0,10722,5.759423,4367497.0,The Day of the Beast,6.9,106.0,20.0,10.0,1995.0
2380,False,0,9524,0.799079,0.0,Comedian Harmonists,6.7,13.0,25.0,12.0,1997.0
2382,False,0,16306,6.305008,0.0,Fantastic Planet,7.6,140.0,1.0,5.0,1973.0
2390,False,0,43978,0.561987,0.0,The Apple,7.3,14.0,1.0,1.0,1998.0
2399,False,0,42113,1.925839,0.0,The Ballad of Narayama,7.1,32.0,9.0,4.0,1983.0
2431,False,0,77936,1.085907,0.0,The School of Flesh,5.7,7.0,18.0,11.0,1998.0
2444,False,0,1567,6.138782,0.0,I Stand Alone,7.5,99.0,16.0,5.0,1998.0
2449,False,0,11526,0.531412,0.0,Bandits,5.4,10.0,2.0,7.0,1997.0
2460,False,0,65749,0.596717,0.0,Tango,6.8,6.0,12.0,2.0,1998.0
2462,False,500000,9840,0.417705,0.0,The Dreamlife of Angels,6.9,18.0,16.0,9.0,1998.0
2463,False,0,186705,0.227517,0.0,"Love, etc.",6.0,1.0,27.0,11.0,1996.0
2469,False,10000000,18764,10.222076,8359717.0,Twin Dragons,6.2,72.0,15.0,1.0,1992.0
2472,False,0,1414,2.995334,0.0,Lovers of the Arctic Circle,7.1,54.0,4.0,9.0,1998.0
2477,False,0,25512,0.38359,13936.0,Jeanne and the Perfect Guy,4.5,3.0,22.0,4.0,1998.0
2479,False,0,22826,4.700084,0.0,The Monster,6.8,126.0,22.0,10.0,1994.0
2480,False,2900000,1902,8.842959,368234.0,Open Your Eyes,7.4,211.0,19.0,12.0,1997.0
2481,False,0,445590,0.001187,0.0,Photographer,0.0,0.0,1.0,5.0,1998.0
2488,False,0,42230,1.867807,0.0,The Mighty Peking Man,4.8,12.0,11.0,8.0,1977.0
2495,False,0,25471,2.291724,1.0,The King of Masks,7.8,12.0,20.0,12.0,1997.0
2507,False,0,33194,1.286747,0.0,Xiu Xiu: The Sent-Down Girl,7.3,7.0,19.0,2.0,1998.0
2510,False,11791,17962,2.916805,0.0,After Life,7.3,49.0,11.0,9.0,1998.0
2511,False,0,9460,7.632785,0.0,Black Mask,5.8,55.0,7.0,11.0,1996.0
2518,False,0,8785,2.277685,0.0,The Saragossa Manuscript,7.4,23.0,9.0,2.0,1965.0
2558,False,0,24858,1.266908,0.0,Eternity and a Day,7.1,14.0,1.0,1.0,1998.0
2576,False,9000000,10376,7.668214,0.0,The Legend of 1900,8.1,554.0,28.0,10.0,1998.0
2577,False,1530000,104,7.765379,7267585.0,Run Lola Run,7.2,672.0,20.0,8.0,1998.0
2581,False,12500000,9421,6.122739,78599508.0,The Dinner Game,7.7,408.0,15.0,4.0,1998.0
2589,False,28000000,2767,3.62449,0.0,Les Amants du Pont-Neuf,7.5,45.0,16.0,10.0,1991.0
2590,False,0,78568,0.977617,0.0,"Late August, Early September",7.3,4.0,14.0,9.0,1998.0
2593,False,0,10239,3.842644,0.0,Autumn Tale,7.0,12.0,7.0,9.0,1998.0
2616,False,0,147,7.268688,0.0,The 400 Blows,8.0,363.0,4.0,5.0,1959.0
2617,False,0,1628,5.979791,0.0,Jules and Jim,7.6,163.0,23.0,1.0,1962.0
2627,False,0,3934,2.010505,0.0,Ménage,6.0,25.0,23.0,4.0,1986.0
2658,False,0,102489,0.422789,0.0,Alice and Martin,6.0,6.0,23.0,10.0,1998.0
2661,False,0,126996,0.614407,0.0,Marcello Mastroianni: I Remember,5.5,2.0,29.0,8.0,1997.0
2695,False,0,10494,6.487495,0.0,Perfect Blue,7.9,261.0,11.0,7.0,1997.0
2710,False,0,103793,0.100686,0.0,Rosie,5.0,2.0,18.0,11.0,1998.0
2715,False,0,47144,0.569218,0.0,Cabaret Balkan,7.3,4.0,1.0,8.0,1998.0
2718,False,0,52366,1.122218,458557.0,Lucie Aubrac,5.9,8.0,26.0,2.0,1997.0
2728,False,0,1075,6.261475,0.0,"Black Cat, White Cat",7.7,160.0,1.0,6.0,1998.0
2731,False,0,47951,2.500605,0.0,The Adventures of Milo and Otis,6.7,54.0,27.0,6.0,1986.0
2763,False,0,10975,12.276235,0.0,Armour of God II: Operation Condor,7.0,109.0,7.0,2.0,1991.0
2764,False,15000000,10974,7.278549,0.0,Armour of God,6.8,111.0,16.0,8.0,1986.0
2781,False,0,5622,1.715072,0.0,And the Ship Sails On,7.0,22.0,6.0,10.0,1983.0
2789,False,0,11712,11.293611,0.0,Sanjuro,7.8,122.0,1.0,1.0,1962.0
2794,False,0,55107,1.535323,0.0,L'ennui,6.1,12.0,14.0,11.0,1998.0
2795,False,0,69851,0.81126,0.0,The Grandfather,6.7,11.0,16.0,10.0,1998.0
2804,False,0,2457,5.353954,0.0,Children of Paradise,7.9,79.0,15.0,3.0,1945.0
2808,False,0,11230,7.404755,0.0,Drunken Master,7.2,178.0,5.0,10.0,1978.0
2809,False,750000,8416,9.931025,0.0,The Conformist,7.6,129.0,21.0,10.0,1970.0
2815,False,0,20123,5.443964,0.0,Time of the Gypsies,7.2,53.0,21.0,12.0,1988.0
2817,False,0,2593,2.441347,0.0,The Fire Within,7.4,38.0,14.0,10.0,1963.0
2818,False,0,42020,0.185772,0.0,El Amor Brujo,7.0,4.0,23.0,3.0,1986.0
